location_id,lat,lon,pop_density,pct_no_vehicle,median_income
224,42.0555421,-87.6718834,5575.47,19.66,56463.0
886,41.7681043,-87.6979987,3108.61,5.76,41032.0
21,42.0312824,-87.9437284,2081.49,4.07,60470.0
22,41.5839406,-87.601073,925.91,2.17,84250.0
23,41.5732305,-87.5417612,2019.49,2.61,65227.0
24,42.1130825,-87.7551783,1021.27,0.94,250001.0
25,42.0297739,-87.8113312,2483.89,1.37,99271.0
26,42.0196065,-87.8378985,1738.87,1.48,131979.0
27,42.0751828,-87.7149697,2693.3,1.0,231919.0
28,42.0843196,-87.692113,1907.58,0.0,243333.0
29,41.8407572,-87.712252,9853.82,6.55,28442.0
30,41.8626611,-87.7128746,3986.17,22.59,24120.0
31,41.7706621,-87.6089474,6096.72,6.88,41910.0
32,42.06036,-87.8491466,3127.9,4.76,53893.0
33,41.8714964,-87.6984897,3184.68,14.18,58167.0
34,42.0226798,-87.9322771,1105.61,7.17,73859.0
35,41.8479904,-87.7173343,8665.92,11.72,48915.0
36,41.848072,-87.7124504,14556.69,10.4,46554.0
37,41.847029,-87.6979734,11394.11,3.12,34608.0
38,41.8484171,-87.6914771,10802.46,23.26,50040.0
39,41.5634411,-87.5356299,2287.74,0.0,65190.0
40,41.5610697,-87.565853,2215.53,14.95,62917.0
41,41.7179309,-87.6131964,1246.39,1.97,67135.0
42,42.0843917,-87.9166479,1972.57,0.0,125370.0
43,42.0742533,-87.9076154,891.06,0.71,116136.0
44,41.6622934,-87.6521851,2012.67,9.39,66522.0
45,41.7760362,-87.7714298,6710.05,4.95,79231.0
46,41.7764111,-87.7519356,4732.97,3.37,72297.0
47,41.7748241,-87.7397422,4605.7,8.23,38365.0
48,41.7823766,-87.7178549,6863.45,7.01,59966.0
49,41.7979614,-87.5896248,11582.24,47.22,58396.0
50,42.0795988,-87.8456411,1470.0,0.0,135625.0
51,42.1170205,-87.9319108,2629.02,4.33,76045.0
52,41.5918128,-87.8275417,1785.15,1.05,93380.0
53,41.9972772,-87.6556425,28088.77,43.8,45865.0
54,41.8950347,-87.6197175,7704.32,51.44,74432.0
55,41.7693907,-87.5616155,7800.28,26.67,50625.0
56,41.9700602,-87.8361806,3282.16,1.12,81250.0
57,42.1164128,-87.9496249,1360.49,3.09,102961.0
58,41.972545,-87.6788181,7602.3,12.09,94132.0
59,41.9672886,-87.6524343,29106.97,18.53,48889.0
60,41.8991538,-87.626212,23919.1,34.13,128955.0
61,41.9345407,-87.6430239,31883.04,57.74,66447.0
62,41.7611807,-87.6398423,3234.75,35.07,17500.0
63,41.8613456,-87.6305315,5249.86,11.17,128000.0
64,41.832097,-87.6818813,4387.23,13.74,65909.0
65,42.0013156,-87.6936373,10859.16,5.05,83839.0
66,41.7550528,-87.6002666,2809.4,7.11,22363.0
67,41.9428559,-87.7174955,5467.78,12.14,96318.0
68,41.927595,-87.7880067,4008.58,3.25,76914.0
69,41.9256105,-87.7976148,4850.07,5.54,63839.0
70,42.1478319,-88.0178649,5740.53,6.14,68958.0
71,41.8711388,-87.616881,10041.56,41.38,108320.0
72,41.9153214,-87.73226,8204.83,14.0,55326.0
73,41.9147981,-87.6769966,7907.61,6.15,177500.0
74,41.970556,-87.8168604,3870.65,5.15,102955.0
75,41.9157411,-87.6922565,11013.74,8.21,132226.0
76,41.8741751,-87.6619349,5170.74,27.31,75878.0
77,41.9160827,-87.8595375,997.72,1.56,63035.0
78,41.7910414,-87.6231791,8076.06,37.58,22463.0
79,41.8347817,-87.605979,4292.76,27.77,54688.0
80,41.8274019,-87.6240909,4843.24,49.88,74319.5
81,41.8268855,-87.6098876,7205.53,24.79,26638.0
82,41.7828633,-87.620558,5611.0,65.79,21029.0
83,41.8015021,-87.5793434,10190.09,45.86,51471.0
84,41.7978308,-87.6037423,12946.23,25.68,70833.0
85,41.7979687,-87.5989422,8915.93,29.8,39461.0
86,42.030206,-87.6846291,6376.26,5.56,93056.0
87,42.0228223,-87.6833402,7579.53,11.96,71948.0
88,42.0253099,-87.7016081,2666.06,0.67,89390.0
89,41.87175,-87.8517415,3519.83,2.72,80211.0
90,41.8511914,-87.8737524,1689.84,0.61,121328.0
92,41.7437212,-87.6195424,3590.44,6.3,46747.0
93,41.7979128,-87.6476808,3119.28,10.27,27583.0
94,41.7980175,-87.7180257,5728.39,0.31,68438.0
95,41.7955215,-87.7292339,3375.73,1.61,62250.0
96,41.6856566,-87.685071,2802.45,0.0,104009.0
97,41.6846154,-87.6712334,1806.03,4.03,52880.0
98,41.8143023,-87.8672573,2349.5,1.35,92337.0
99,41.6956647,-87.6714247,2395.64,3.45,75250.0
100,41.6953911,-87.6861726,3847.3,3.22,119000.0
101,41.8713668,-87.6886812,5105.89,11.96,79330.0
102,41.8702683,-87.6849136,9111.7,13.04,81286.0
103,41.7931041,-87.6131828,982.28,11.6,84293.0
104,42.0596774,-88.0151586,2490.43,0.83,76679.0
105,41.8085114,-87.6139992,7371.8,7.79,44757.0
106,41.8076202,-87.6214298,5099.61,18.64,34300.0
107,41.9165283,-87.8100724,5934.24,4.2,53679.0
108,41.915668,-87.8197163,2559.07,0.0,94743.0
109,41.7978466,-87.652536,4040.98,26.3,47300.0
110,41.7895025,-87.7304438,7135.78,1.12,67292.0
111,41.7896382,-87.7181682,6917.76,5.18,53575.0
112,41.9602807,-87.8259863,2313.99,3.84,78798.0
113,42.0594171,-87.9322202,2209.26,4.07,132232.0
114,42.0446148,-87.9309674,2359.72,1.36,123337.0
115,41.7461465,-87.5357286,894.05,20.68,47790.0
116,41.8830061,-87.8545258,4114.01,4.51,55473.0
117,41.8930003,-87.838256,3638.51,4.96,91638.0
118,41.6065576,-87.5366783,1330.57,12.3,50918.0
119,41.6152862,-87.60649,1771.38,9.22,65679.0
120,42.0070209,-87.7354065,1627.09,0.55,93958.0
121,42.0050636,-87.7194386,1938.0,0.61,87460.0
122,42.0157619,-88.2532379,822.17,0.48,72237.0
123,42.0333408,-87.7851412,1639.82,0.61,77500.0
124,42.0322813,-87.7667893,3385.04,3.7,74539.0
125,41.8921425,-87.6098541,27127.37,49.51,114052.0
126,41.9808148,-87.6545286,102265.55,22.52,69050.0
127,41.7409356,-87.6011636,5290.79,28.28,40565.0
128,41.7409599,-87.609762,3534.61,14.41,31537.0
129,42.1432824,-87.995232,1369.4,0.88,85000.0
130,42.0988769,-87.9319458,655.97,0.0,126429.0
131,41.9261554,-87.7215651,11550.91,13.81,75625.0
132,41.9347647,-87.639854,33845.16,46.3,94173.0
133,41.8766958,-87.7521051,8423.18,29.95,47979.0
134,41.7835957,-87.6983926,9377.09,8.81,44329.0
135,41.7799541,-87.6982872,10752.1,19.46,24628.0
136,41.9788749,-87.6578708,15598.37,32.22,56667.0
137,41.9374013,-87.7223301,9154.33,13.61,61678.0
138,41.959398,-87.7032936,9154.65,12.43,83333.0
139,41.9432305,-87.6434679,21939.43,54.94,61563.0
140,41.8408329,-87.707371,9912.41,16.83,45326.0
141,41.9799123,-87.664188,7465.45,21.02,96069.0
142,41.5378384,-87.5990585,359.39,3.69,69342.0
143,41.7276936,-87.7947697,2559.41,4.17,72540.0
144,41.8494406,-87.7983382,4268.59,7.67,63677.0
145,41.8533777,-87.7897934,10606.64,5.56,56410.0
146,41.6672678,-87.7752955,1225.2,0.48,99299.0
147,41.6174076,-87.7384991,1827.42,0.0,86560.0
148,41.6908498,-87.7928456,2642.2,9.05,53039.0
149,41.6616416,-87.7231142,1031.73,1.86,51951.0
150,41.5952933,-87.7748334,709.7,0.54,88889.0
151,41.9036197,-87.840829,2412.98,0.83,88622.0
152,41.5478031,-87.6447281,1845.95,1.07,101371.0
153,41.5431384,-87.6252653,647.66,2.43,68785.0
154,41.5161624,-87.634952,1179.5,4.12,57174.0
155,41.5714081,-87.6846102,1486.69,2.11,63104.0
156,41.5321711,-87.6427436,1995.42,0.0,76591.0
157,41.7976329,-87.676898,5947.54,8.35,74319.5
158,41.8418857,-87.6320356,5614.57,13.96,49309.0
159,41.8914374,-87.9119067,1159.26,0.62,78566.0
160,41.9854357,-87.8694197,489.59,3.37,65300.0
161,42.0479477,-87.9024646,1312.21,0.8,108386.0
162,41.7651434,-87.5592324,11908.16,13.25,30561.0
163,42.0113034,-87.7900018,783.63,0.8,56131.0
164,41.5644165,-87.7040282,1230.84,3.24,64360.0
165,41.9032163,-87.8808408,5024.37,0.0,74070.0
166,41.8833934,-87.7894754,4665.59,3.76,88717.0
167,41.9729098,-87.6467854,10839.75,17.71,64598.0
168,41.727213,-87.7590953,2725.16,0.0,86299.0
169,41.8453738,-87.7754192,7220.97,2.76,61552.0
170,41.8393764,-87.7953526,4531.56,0.46,95781.0
171,41.8313704,-87.796191,3762.92,5.14,55347.0
172,41.8383064,-87.7840493,5206.06,1.91,59895.0
173,41.4838564,-87.6810647,2208.77,0.0,39488.0
174,41.4749198,-87.6918353,1570.99,2.27,59036.0
175,41.721552,-87.7315013,2078.27,3.32,56963.0
176,41.6650626,-87.535333,862.51,2.19,74319.5
177,41.9833305,-87.6819934,2033.45,12.25,93576.0
178,41.8955765,-87.8603346,5705.89,4.23,68818.0
179,41.8943837,-87.850982,4836.55,2.84,57771.0
180,42.0472355,-87.7735988,1786.79,1.93,128254.0
181,41.8925555,-87.6262274,17236.11,35.6,151626.0
182,41.8921061,-87.6288738,28913.18,56.22,157623.0
183,41.9159095,-87.6838262,9706.85,20.93,184727.0
184,41.9156825,-87.6995874,9136.46,5.84,147582.0
